file_names,mat-mul-add10x10.log,mat-mul-add15x15.log,mat-mul-add20x20.log,mat-mul-add25x25.log,mat-mul-add30x30.log,mat-mul-add5x5.log
cycles,86216,285978,672668,1174002,2263462,11618
instret,60555,202373,477591,742959,1605224,7890
loads,17367,58132,137297,267612,461827,2252
stores,2261,7271,16881,32591,55901,351
I$_miss,9,10,10,10,10,9
D$_reg_miss,6,3,13,26,55,3
D$_prefetch_miss,1,2,3,4,23,1
D$_release,781,2577,6049,10556,20360,112
ITLB_miss,0,0,0,0,0,0
DTLB_miss,0,0,0,0,0,0
L2_TLB_miss,0,0,0,0,0,0
branches,1221,3856,8841,16926,28861,186
mispredicts,225,490,851,1310,1865,45
load_use_interlock,16271,54172,127494,181157,428581,2102
I$_blocked,306,344,328,322,346,284
D$_blocked,528,1946,4291,4504,14995,69
