file_names,max-path-sum_0.log,max-path-sum_1.log,max-path-sum_2.log,max-path-sum_3.log,max-path-sum_4.log,max-path-sum_5.log,max-path-sum_6.log,,average,
cycles,2651093,2651076,2650808,2650720,2651097,2651423,2651304,,2651074.429,1.486024697
instret,1784014,1783958,1784061,1783960,1784064,1783966,1784007,,1784004.286,
loads,449550,449550,449550,449550,449550,449550,449550,,449550,
stores,124173,124173,124173,124173,124173,124173,124173,,124173,
I$_miss,20,20,20,20,20,20,20,,20,
D$_reg_miss,979,979,979,979,979,979,979,,979,0.170639838
D$_prefetch_miss,0,0,0,0,0,0,0,,0,
D$_release,25239,25238,25242,25229,25226,25236,25235,,25235,
ITLB_miss,0,0,0,0,0,0,0,,0,
DTLB_miss,0,0,0,0,0,0,0,,0,
L2_TLB_miss,0,0,0,0,0,0,0,,0,
branches,78000,78000,78000,78000,78000,78000,78000,,78000,
mispredicts,16619,16534,16480,16566,16453,16573,16501,,16532.28571,
load_use_interlock,333852,333790,333751,333675,333837,333863,333871,,333805.5714,
I$_blocked,708,702,762,710,770,704,706,,723.1428571,
D$_blocked,56606,56942,56876,56304,56508,56786,56809,,56690.14286,56690.14286
