file_names,max-path-sum_0.log,max-path-sum_1.log,max-path-sum_2.log,max-path-sum_3.log,max-path-sum_4.log,max-path-sum_5.log,max-path-sum_6.log,max-path-sum_7.log,max-path-sum_8.log,max-path-sum_9.log,,average,
cycles,15975,15799,15876,15953,15951,15950,15947,15888,15939,15892,,15917,1.388966456
instret,11463,11459,11460,11462,11461,11460,11453,11458,11457,11463,,11459.6,
loads,2660,2660,2660,2660,2660,2660,2660,2660,2660,2660,,2660,
stores,778,778,778,778,778,778,778,778,778,778,,778,
I$_miss,21,21,21,21,21,21,21,21,21,21,,21,
D$_reg_miss,5,5,5,5,5,5,5,5,5,5,,5,0.145433392
D$_prefetch_miss,0,0,0,0,0,0,0,0,0,0,,0,
D$_release,162,161,161,162,162,162,162,162,162,162,,161.8,
ITLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
DTLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
L2_TLB_miss,0,0,0,0,0,0,0,0,0,0,,0,
branches,490,490,490,490,490,490,490,490,490,490,,490,
mispredicts,157,143,167,159,173,172,161,164,168,156,,162,
load_use_interlock,2186,2187,2187,2203,2199,2197,2197,2191,2198,2190,,2193.5,
I$_blocked,886,818,834,838,818,838,844,814,832,816,,833.8,
D$_blocked,93,79,99,115,117,120,125,92,99,93,,103.2,103.2
