file_names,mat-mul-add1.log,mat-mul-add10.log,mat-mul-add2.log,mat-mul-add3.log,mat-mul-add4.log,mat-mul-add5.log,mat-mul-add6.log,mat-mul-add7.log,mat-mul-add8.log,mat-mul-add9.log
cycles,89539,89558,89815,89565,89770,89516,89824,89919,89971,89509
instret,60555,60555,60555,60555,60555,60555,60555,60555,60555,60555
loads,17367,17367,17367,17367,17367,17367,17367,17367,17367,17367
stores,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
I$_miss,9,9,9,9,9,9,9,9,9,9
D$_reg_miss,6,6,6,6,6,6,6,6,6,6
D$_prefetch_miss,0,0,0,0,0,0,0,0,0,0
D$_release,826,829,834,827,831,827,834,834,835,827
ITLB_miss,0,0,0,0,0,0,0,0,0,0
DTLB_miss,0,0,0,0,0,0,0,0,0,0
L2_TLB_miss,0,0,0,0,0,0,0,0,0,0
branches,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221
mispredicts,228,227,230,227,229,227,226,227,227,226
load_use_interlock,18220,18233,18300,18233,18281,18225,18303,18321,18320,18214
I$_blocked,250,250,250,250,250,250,250,250,252,250
D$_blocked,1288,1288,1270,1296,1276,1295,1269,1265,1339,1292
