file_names,mat-mul-add1.log,mat-mul-add10.log,mat-mul-add2.log,mat-mul-add3.log,mat-mul-add4.log,mat-mul-add5.log,mat-mul-add6.log,mat-mul-add7.log,mat-mul-add8.log,mat-mul-add9.log
cycles,86387,86271,86216,86211,86324,86246,86360,86251,86384,86342
instret,60555,60555,60555,60555,60555,60555,60555,60555,60555,60555
loads,17367,17367,17367,17367,17367,17367,17367,17367,17367,17367
stores,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
I$_miss,9,9,9,9,9,9,9,9,9,9
D$_reg_miss,6,6,6,6,6,6,6,6,6,6
D$_prefetch_miss,1,1,1,1,1,1,1,1,1,1
D$_release,782,781,781,781,782,782,783,781,782,782
ITLB_miss,0,0,0,0,0,0,0,0,0,0
DTLB_miss,0,0,0,0,0,0,0,0,0,0
L2_TLB_miss,0,0,0,0,0,0,0,0,0,0
branches,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221
mispredicts,227,228,225,226,226,226,226,226,226,224
load_use_interlock,16307,16285,16271,16271,16288,16276,16295,16282,16305,16293
I$_blocked,290,294,306,306,312,296,296,290,290,304
D$_blocked,571,559,528,525,565,565,573,543,581,547
